MAG-7 | Insomnia (Mil-Spec Grade)
MP9 | Featherweight (Mil-Spec Grade)
SCAR-20 | Fragments (Mil-Spec Grade)
P250 | Re.built (Mil-Spec Grade)
MP5-SD | Liquidation (Mil-Spec Grade)
SG 553 | Cyberforce (Mil-Spec Grade)
Tec-9 | Rebel (Mil-Spec Grade)
M4A1-S | Emphorosaur-S (Restricted)
Glock-18 | Umbral Rabbit (Restricted)
MAC-10 | Sakkaku (Restricted)
R8 Revolver | Banana Cannon (Restricted)
P90 | Neoqueen (Restricted)
AWP | Duality (Classified)
UMP-45 | Wild Child (Classified)
P2000 | Wicked Sick (Classified)
M4A4 | Temukau (Covert)
AK-47 | Head Shot (Covert)
