Glock-18 | Winterized (Mil-Spec Grade)
UMP-45 | Roadblock (Mil-Spec Grade)
Negev | Drop Me (Mil-Spec Grade)
MAC-10 | Monkeyflage (Mil-Spec Grade)
M4A4 | Poly Mag (Mil-Spec Grade)
Galil AR | Destroyer (Mil-Spec Grade)
FAMAS | Meow 36 (Mil-Spec Grade)
M249 | Downtown (Restricted)
R8 Revolver | Crazy 8 (Restricted)
Dual Berettas | Flora Carnivora (Restricted)
P90 | Vent Rush (Restricted)
SG 553 | Dragon Tech (Restricted)
Sawed-Off | Kiss Love (Classified)
P250 | Visions (Classified)
AK-47 | Ice Coaled (Classified)
AWP | Chromatic Aberration (Covert)
USP-S | Printstream (Covert)
